"#","Name","Location","Hours of Operation (Spring 2026)"
"1","12th Avenue Bread Company","251 W. 12th Avenue, Columbus, OH 43210","Mon–Fri: 8am–7pm; Sat–Sun: 9am–5pm"
"2","Berry Café","1858 Neil Ave Mall, Columbus, OH 43210","Mon–Fri: 7:30am–8pm; Sat: 9am–6pm; Sun: 11am–8pm"
"3","Café Carmenton","2281 Kenny Road, Columbus, OH 43210","Mon–Fri: 7:30am–5pm; Sat–Sun: Closed"
"4","Caffeine Element","376 W. 10th Avenue, Columbus, OH 43210","Mon–Fri: 7am–4:30pm; Sat–Sun: Closed"
"5","CFAES Café","2120 Fyffe Road, Columbus, OH 43210","Mon–Thu: 8am–5pm; Fri: 8am–4pm; Sat–Sun: Closed"
"6","Coffey Road Café at Vet Med","601 Vernon L Tharp Street, Columbus, OH 43210","Mon–Fri: 8am–5pm; Sat–Sun: Closed"
"7","Connecting Grounds","160 W. Woodruff Avenue, Columbus, OH 43210","Mon–Fri: 7am–7pm; Sat–Sun: 9am–5pm"
"8","Courtside Café","337 Annie and John Glenn Ave, Columbus, OH 43210","Mon–Fri: 11am–9pm; Sat: Closed; Sun: 4pm–9pm"
"9","Crane Café","1775 College Rd, Columbus, OH 43210","Mon–Thu: 8am–5pm; Fri: 8am–4pm; Sat–Sun: Closed"
"10","Curl Market","80 W. Woodruff Ave, Columbus, OH 43210","Mon–Fri: 10:30am–10pm; Sat–Sun: 10:30am–8pm"
"11","Donatos at Oxley's","2050 Tuttle Park Place, Columbus, OH 43210","Mon–Fri: 11am–11pm; Sat–Sun: Closed"
"12","Espress-OH","1739 North High Street, Columbus, OH 43210","Mon–Fri: 8am–8pm; Sat–Sun: 10am–7pm"
"13","Food Trucks","Columbus, OH 43210","Varies by truck"
"14","Hamilton Café","300 W. 10th Ave, Columbus, OH 43210","Mon–Fri: 7:30am–3pm; Sat–Sun: Closed"
"15","Juice @ RPAC","337 Annie and John Glenn Ave, Columbus, OH 43210","Mon–Fri: 7am–10pm; Sat–Sun: 10am–10pm"
"16","Juice North","160 W. Woodruff Avenue, Columbus, OH 43210","Mon–Fri: 7am–7pm; Sat–Sun: 9am–5pm"
"17","KSA Café","275 W. Woodruff Avenue, Columbus, OH 43210","Mon–Thu: 8am–5pm; Fri: 8am–4pm; Sat–Sun: Closed"
"18","Marketplace C-Store","1578 Neil Avenue, Columbus, OH 43210","Mon–Tue: Closed; Wed–Fri: 11am–9pm; Sat–Sun: Closed"
"19","Marketplace Coffee Shop","1578 Neil Avenue, Columbus, OH 43210","Mon–Sun: 7am–3pm"
"20","Marketplace on Neil","1578 Neil Avenue, Columbus, OH 43210","Mon–Sun: 11am–9pm"
"21","Mirror Lake Eatery","1760 Neil Avenue, Columbus, OH 43210","Mon–Fri: 11am–9pm; Sat: Closed; Sun: 4pm–9pm"
"22","Morrill C-Store","1900 Cannon Drive, Columbus, OH 43210","Mon–Sun: 12pm–8pm"
"23","Oxley's by the Numbers","2050 Tuttle Park Place, Columbus, OH 43210","Mon–Fri: 7am–5pm; Sat–Sun: Closed"
"24","Postle Café","305 W. 12th Ave, Columbus, OH 43210","Mon–Fri: 7am–2:30pm; Sat–Sun: Closed"
"25","Sloopy's Diner","1739 North High Street, Columbus, OH 43210","Mon–Sun: 10am–10pm"
"26","Terra Byte Café","175 W. 18th Avenue, Columbus, OH 43210","Mon–Fri: 7:30am–8pm; Sat: 10am–5pm; Sun: 9am–8pm"
"27","The Campus Grind – McPherson","140 W. 18th Avenue, Columbus, OH 43210","Mon–Fri: 7:30am–4:30pm; Sat–Sun: Closed"
"28","Traditions at Kennedy","251 W. 12th Avenue, Columbus, OH 43210","Mon–Fri: 7am–3pm & 4pm–9pm; Sat: 9am–3pm & 4pm–8pm; Sun: 9am–3pm & 4pm–9pm"
"29","Traditions at Morrill (To Go)","1900 Cannon Drive, Columbus, OH 43210","Mon–Fri: 7am–3pm & 4pm–8:30pm; Sat: 9am–3pm & 4pm–8pm; Sun: 9am–3pm & 4pm–8:30pm"
"30","Traditions at Morrill (Pizza Delivery)","1900 Cannon Drive, Columbus, OH 43210","Mon–Sat: 11am–3pm & 4pm–7:30pm; Sun: Closed"
"31","Traditions at Morrill C-Store","1900 Cannon Drive, Columbus, OH 43210","Mon–Sun: 12pm–8pm"
"32","Traditions at Scott","Scott House, 160 W. Woodruff Avenue, Columbus, OH 43210","Mon–Fri: 7am–3pm & 4pm–9pm; Sat: 9am–3pm & 4pm–8pm; Sun: 9am–3pm & 4pm–9pm"
"33","Union Market","1739 North High Street, Columbus, OH 43210","Sun–Fri: 10:30am–9pm; Sat: 10:30am–7pm"
"34","Woody's Tavern","1739 North High Street, Columbus, OH 43210","Mon–Sun: 11am–10pm"
